x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,horizontal,vertical,clockwise circle,counterclockwise circle,nothing
15,0,11,0,10,0,9,-1,4,0,4,-1,4,-2,0,0,-2,0,-4,-1,-6,0,-9,0,-10,0,-12,0,-14,1,1,0,0,0,0
12,3,11,3,9,2,7,2,6,1,4,1,3,0,3,1,0,1,-2,1,-4,0,-5,0,-12,-2,-15,-2,-14,-4,1,0,0,0,0
-28,2,-25,3,-24,2,-20,3,-12,1,1,-1,2,0,4,0,5,0,7,0,10,1,16,-2,18,-3,20,-1,22,0,1,0,0,0,0
37,1,32,-1,29,1,18,2,13,3,10,3,5,2,2,-2,-8,1,-14,3,-19,0,-23,-1,-26,0,-29,-1,-32,-3,1,0,0,0,0
10,0,9,0,9,0,9,0,5,0,3,0,2,0,-1,1,-2,0,-3,0,-5,0,-6,1,-8,0,-9,0,-10,0,1,0,0,0,0
32,-1,24,-3,20,0,19,1,4,0,2,0,-2,0,-4,1,-8,1,-12,0,-13,0,-13,1,-13,1,-14,1,-13,1,1,0,0,0,0
-17,-1,-16,0,-14,0,-13,0,-11,0,-8,1,-2,-2,0,-3,2,-1,4,0,9,1,12,-1,15,-1,18,0,22,1,1,0,0,0,0
15,-1,13,-2,12,-5,5,-1,3,-1,1,-2,0,-1,-2,0,-3,1,-5,2,-5,1,-7,1,-7,1,-8,1,-8,1,1,0,0,0,0
14,0,13,-1,8,0,8,-1,8,-2,4,0,2,0,0,-1,-2,0,-5,0,-6,0,-8,0,-10,1,-12,1,-13,2,1,0,0,0,0
25,-1,22,0,17,0,14,0,8,-1,6,-2,3,-2,1,-1,-4,0,-6,0,-9,0,-9,1,-21,1,-23,0,-27,1,1,0,0,0,0
35,1,25,2,21,2,17,3,16,1,8,1,4,1,2,1,-4,1,-13,2,-19,0,-22,-3,-24,-3,-26,-1,-28,-1,1,0,0,0,0
17,2,13,1,11,1,8,0,5,0,2,0,3,0,1,0,0,0,-1,0,-6,-1,-9,-2,-10,-1,-12,-1,-16,0,1,0,0,0,0
-31,2,-28,2,-24,1,-18,0,-15,0,-12,0,-7,1,7,1,9,0,12,1,13,-1,16,-1,23,0,27,0,31,1,1,0,0,0,0
-25,-2,-22,0,-16,1,-14,0,-12,0,-8,0,-3,-1,1,-1,2,-2,3,-1,9,1,15,0,17,2,21,2,29,2,1,0,0,0,0
-16,1,-12,1,-11,1,-9,1,-8,1,-5,1,-4,1,-3,1,0,0,1,-1,4,-1,7,0,15,-1,18,0,21,0,1,0,0,0,0
20,-3,18,-3,11,-2,8,-3,8,-2,6,-3,2,0,0,0,-4,-1,-7,0,-10,2,-11,2,-12,2,-14,2,-16,5,1,0,0,0,0
60,6,48,1,14,1,10,-1,7,-2,2,0,0,0,-3,-2,-6,-2,-10,-2,-15,1,-22,-2,-24,-1,-28,-3,-32,1,1,0,0,0,0
-15,-1,-13,-1,-9,0,-9,0,-8,0,-6,-1,-4,-1,-3,0,-2,0,2,0,5,0,11,1,13,0,15,1,18,1,1,0,0,0,0
-43,-3,-40,-4,-34,-3,-30,-4,-24,0,-21,1,-14,1,-9,2,17,2,24,3,27,4,33,4,38,2,41,-2,43,-1,1,0,0,0,0
36,4,34,4,24,3,21,2,17,1,13,0,9,0,4,-1,0,-1,-6,-1,-18,-2,-23,-3,-29,-2,-33,-2,-43,-1,1,0,0,0,0
22,4,21,3,19,3,18,2,8,2,6,1,3,1,0,0,-3,0,-7,-2,-10,-2,-12,-3,-14,-1,-17,-1,-27,0,1,0,0,0,0
-26,-1,-22,-1,-17,-2,-13,-2,-12,-3,-11,-2,-5,0,1,-1,3,1,7,1,15,1,18,3,20,5,19,-2,23,0,1,0,0,0,0
12,0,11,1,9,0,8,0,7,0,4,0,-1,1,-2,1,-3,1,-5,0,-7,1,-9,0,-9,0,-10,0,-11,0,1,0,0,0,0
-9,0,-8,-1,-7,0,-7,0,-6,0,-4,0,-3,0,-1,0,0,0,3,0,4,0,5,0,6,0,10,0,11,0,1,0,0,0,0
18,0,17,0,12,-1,9,-2,8,-1,6,-1,2,0,1,0,-3,0,-4,0,-7,0,-11,1,-13,3,-14,2,-16,2,1,0,0,0,0
-18,0,-16,0,-15,0,-12,0,-4,0,-1,0,0,0,1,0,3,-1,5,0,6,1,9,1,12,1,13,1,14,0,1,0,0,0,0
23,5,22,4,22,4,18,3,16,2,14,2,4,1,1,0,-3,-1,-7,-2,-11,-2,-16,-3,-20,-3,-26,-3,-38,-4,1,0,0,0,0
12,0,10,1,6,1,4,1,3,1,3,0,-2,1,0,-1,-1,-1,-1,0,-5,1,-6,1,-7,0,-7,-1,-8,0,1,0,0,0,0
22,1,16,3,11,0,7,-1,4,0,1,-1,-2,-3,-4,-3,-7,0,-7,-1,-8,0,-9,0,-9,1,-9,0,-7,0,1,0,0,0,0
21,3,19,4,16,1,13,1,11,-2,10,-1,5,-1,3,-1,0,0,-7,0,-10,0,-14,-2,-17,-2,-22,-3,-24,-2,1,0,0,0,0
26,-1,24,-1,21,-1,21,0,9,0,7,-1,3,0,-1,-1,-4,1,-6,2,-10,-1,-16,0,-21,3,-25,0,-26,-2,1,0,0,0,0
-7,0,-7,0,-6,0,-6,0,-6,0,-5,0,-2,0,-1,0,-1,0,1,1,4,0,6,-1,9,-1,11,0,12,0,1,0,0,0,0
